,12e_EMPTY WELL_1,12e_E588_1,12e_E590_1,12e_E591_1,12e_CONTROL_1,12e_E592_1,12e_E593_1,12e_E594_1,12e_EMPTY WELL_2,12e_E588_2,12e_E590_2,12e_E591_2,12e_CONTROL_2,12e_E592_2,12e_E593_2,12e_E594_2,1e_EMPTY WELL_1,1e_E521_1,1e_E522_1,1e_E523_1,1e_CONTROL_1,1e_E524_1,1e_E525_1,1e_E526_1,1e_EMPTY WELL_2,1e_E521_2,1e_E522_2,1e_E523_2,1e_CONTROL_2,1e_E524_2,1e_E525_2,1e_E526_2,9e_EMPTY WELL_1,9e_E510_1,9e_E513_1,9e_E515_1,9e_CONTROL_1,9e_E517_1,9e_E518_1,9e_E520_1,9e_EMPTY WELL_2,9e_E510_2,9e_E513_2,9e_E515_2,9e_CONTROL_2,9e_E517_2,9e_E518_2,9e_E520_2
102,321.7,1789.1,1888.6,635.1,1684.2,1992.3,1712.7,1898.0,306.8,1583.0,1725.4,1328.8,1783.9,2011.0,1658.3,1769.2,311.3,2207.5,2252.5,1998.7,2158.9,1897.1,2031.2,2311.2,312.5,2151.6,2150.7,1991.1,2213.3,1916.7,2007.0,2085.7,303.2,2236.8,2317.0,2081.3,2619.3,2101.9,2293.8,2601.3,311.9,2130.7,1601.0,1781.5,2498.6,1810.0,2304.6,2646.4
103,321.6,1796.6,1884.9,635.1,1691.4,1990.3,1715.3,1895.0,306.6,1585.1,1738.2,1328.6,1780.8,2017.6,1661.2,1765.3,311.2,2202.5,2251.4,1997.5,2156.1,1902.0,2020.3,2320.8,312.0,2158.3,2145.8,1993.9,2220.8,1911.0,2012.5,2093.6,303.1,2239.4,2313.6,2084.2,2635.2,2095.2,2286.3,2604.3,311.8,2132.2,1618.8,1803.4,2515.8,1828.5,2313.4,2648.3
104,321.7,1792.7,1886.4,635.7,1696.3,1981.6,1718.6,1894.8,306.9,1581.8,1739.9,1322.5,1781.5,2028.7,1664.1,1763.9,311.1,2198.6,2250.3,2002.8,2162.2,1912.1,2029.3,2311.8,312.5,2156.1,2149.7,1988.8,2223.9,1926.5,2005.9,2096.6,303.3,2248.5,2316.0,2093.9,2651.9,2082.9,2278.1,2605.4,312.2,2138.1,1652.8,1821.7,2526.6,1832.7,2315.0,2647.0
105,321.6,1786.7,1888.9,634.9,1696.0,1981.0,1716.8,1892.7,306.5,1574.0,1731.5,1316.1,1784.0,2031.6,1657.1,1759.4,310.8,2204.6,2245.6,2004.8,2159.8,1923.0,2043.8,2323.1,312.0,2156.4,2154.2,1989.5,2219.3,1927.6,2007.3,2117.7,303.1,2250.1,2332.0,2108.1,2653.5,2069.3,2279.2,2619.0,311.7,2134.7,1674.5,1840.1,2536.1,1843.4,2319.8,2643.7
106,321.2,1785.0,1883.7,635.3,1694.7,1975.1,1716.0,1891.2,306.6,1572.6,1724.3,1317.8,1781.8,2045.3,1659.9,1755.0,311.1,2208.0,2258.2,2016.2,2160.9,1910.9,2044.3,2328.8,312.3,2158.1,2158.0,1999.9,2211.0,1933.1,2013.7,2129.0,303.1,2250.1,2327.6,2128.9,2654.3,2069.5,2288.7,2619.8,311.9,2139.3,1686.4,1862.2,2544.4,1855.4,2313.7,2649.1
107,321.4,1787.6,1876.9,635.8,1698.8,1986.7,1713.7,1886.4,306.6,1568.6,1720.5,1324.4,1785.1,2032.1,1673.7,1760.1,310.9,2212.9,2255.7,2024.9,2160.7,1915.7,2042.8,2339.3,312.2,2156.8,2167.2,2006.6,2214.6,1939.1,2009.1,2134.6,303.1,2238.5,2315.5,2142.4,2660.6,2066.0,2289.2,2614.1,311.6,2145.3,1708.9,1880.6,2555.9,1869.4,2309.0,2647.9
108,321.2,1791.7,1880.0,635.8,1682.1,1979.4,1716.2,1884.5,306.4,1575.4,1721.7,1319.8,1785.4,2035.0,1671.1,1763.0,311.0,2218.6,2252.7,2017.4,2161.4,1920.4,2044.3,2348.7,312.3,2153.8,2188.7,2002.4,2207.5,1939.1,2001.0,2144.8,303.0,2234.0,2319.2,2156.0,2666.2,2069.2,2295.7,2620.8,311.6,2144.2,1733.2,1899.6,2562.9,1880.6,2312.4,2642.2
109,321.3,1793.5,1879.1,635.5,1674.8,1984.9,1717.1,1888.9,306.6,1570.2,1734.2,1314.3,1785.1,2041.0,1663.9,1763.4,311.0,2215.2,2257.8,2004.2,2155.2,1917.8,2049.4,2350.2,311.7,2159.6,2185.3,2003.5,2203.5,1934.7,2007.5,2151.2,302.8,2237.0,2326.0,2164.4,2678.6,2067.1,2300.3,2635.9,311.6,2147.3,1754.9,1920.4,2569.8,1888.9,2306.0,2644.0
110,321.2,1798.1,1881.2,635.1,1675.5,1984.0,1720.4,1895.4,306.4,1572.4,1731.5,1312.2,1786.3,2044.9,1663.3,1764.3,311.0,2221.3,2263.8,2011.2,2158.8,1918.5,2055.3,2358.4,312.2,2161.1,2180.1,2010.6,2192.6,1933.1,2008.5,2142.0,302.9,2235.1,2333.1,2178.0,2682.6,2069.1,2300.0,2619.3,311.3,2145.9,1778.2,1941.0,2582.0,1893.4,2306.9,2648.3
111,321.3,1794.4,1886.7,635.1,1678.3,1989.2,1726.1,1891.9,306.1,1575.6,1738.0,1311.0,1791.4,2038.1,1659.9,1762.7,310.9,2219.4,2263.8,2026.9,2159.9,1923.0,2049.8,2351.3,311.9,2166.2,2178.3,2018.5,2191.5,1945.5,2017.7,2127.0,302.7,2232.2,2332.7,2189.2,2689.8,2078.2,2296.6,2614.2,311.3,2148.1,1792.8,1965.9,2581.6,1909.1,2310.7,2652.1
