,1e_EMPTY WELL_1,1e_E521_1,1e_E522_1,1e_E523_1,1e_CONTROL_1,1e_E524_1,1e_E525_1,1e_E526_1,1e_EMPTY WELL_2,1e_E521_2,1e_E522_2,1e_E523_2,1e_CONTROL_2,1e_E524_2,1e_E525_2,1e_E526_2,2e_EMPTY WEL_1,2e_E548_1,2e_E549_1,2e_E550_1,2e_CONTROL_1,2e_E551_1,2e_E552_1,2e_E553_1,2e_EMPTY WEL_2,2e_E548_2,2e_E549_2,2e_E550_2,2e_CONTROL_2,2e_E551_2,2e_E552_2,2e_E553_2,3e_EMPTY WELL_1,3e_E528_1,3e_E530_1,3e_E531_1,3e_CONTROL_1,3e_E533_1,3e_E534_1,3e_E535_1,3e_EMPTY WELL_2,3e_E528_2,3e_E530_2,3e_E531_2,3e_CONTROL_2,3e_E533_2,3e_E534_2,3e_E535_2,4e_EMPTY WELL_1,4e_E579_1,4e_E581_1,4e_E582_1,4e_CONTROL_1,4e_E585_1,4e_E586_1,4e_E587_1,4e_EMPTY WELL_2,4e_E579_2,4e_E581_2,4e_E582_2,4e_CONTROL_2,4e_E585_2,4e_E586_2,4e_E587_2,5e_EMPTY WELL_1,5e_E554_1,5e_E555_1,5e_E558_1,5e_CONTROL_1,5e_E559_1,5e_E560_1,5e_E561_1,5e_EMPTY WELL_2,5e_E554_2,5e_E555_2,5e_E558_2,5e_CONTROL_2,5e_E559_2,5e_E560_2,5e_E561_2,6e_EMPTY WELL_1,6e_E563_1,6e_E570_1,6e_E573_1,6e_CONTROL_1,6e_E576_1,6e_E577_1,6e_E578_1,6e_EMPTY WELL_2,6e_E563_2,6e_E570_2,6e_E573_2,6e_CONTROL_2,6e_E576_2,6e_E577_2,6e_E578_2,7e_EMPTY WELL_1,7e_E537_1,7e_E538_1,7e_E542_1,7e_CONTROL_1,7e_E543_1,7e_E545_1,7e_E546_1,7e_EMPTY WELL_2,7e_E537_2,7e_E538_2,7e_E542_2,7e_CONTROL_2,7e_E543_2,7e_E545_2,7e_E546_2,8e_CONTROL_1,8e_E482_1,8e_E484_1,8e_E485_1,8e_CONTROL_2,8e_E482_2,8e_E484_2,8e_E485_2,9e_EMPTY WELL_1,9e_E510_1,9e_E513_1,9e_E515_1,9e_CONTROL_1,9e_E517_1,9e_E518_1,9e_E520_1,9e_EMPTY WELL_2,9e_E510_2,9e_E513_2,9e_E515_2,9e_CONTROL_2,9e_E517_2,9e_E518_2,9e_E520_2,10e_EMPTY WELL_1,10e_E454_1,10e_E456_1,10e_E461_1,10e_CONTROL_1,10e_E487_1,10e_E489_1,10e_E493_1,10e_EMPTY WELL_2,10e_E454_2,10e_E456_2,10e_E461_2,10e_CONTROL_2,10e_E487_2,10e_E489_2,10e_E493_2,11e_EMPTY WELL_1,11e_E498_1,11e_E503_1,11e_E504_1,11e_CONTROL_1,11e_E506_1,11e_E507_1,11e_E509_1,11e_EMPTY WELL_2,11e_E498_2,11e_E503_2,11e_E504_2,11e_CONTROL_2,11e_E506_2,11e_E507_2,11e_E509_2,12e_EMPTY WELL_1,12e_E588_1,12e_E590_1,12e_E591_1,12e_CONTROL_1,12e_E592_1,12e_E593_1,12e_E594_1,12e_EMPTY WELL_2,12e_E588_2,12e_E590_2,12e_E591_2,12e_CONTROL_2,12e_E592_2,12e_E593_2,12e_E594_2,13e_EMPTY WELL_1,13e_E612_1,13e_E625_1,13e_E639_1,13e_CONTROL_1,13e_E641_1,13e_E650_1,13e_E655_1,13e_EMPTY WELL_2,13e_E612_2,13e_E625_2,13e_E639_2,13e_CONTROL_2,13e_E641_2,13e_E650_2,13e_E655_2,freq
0 days 01:41:00,314.7,1932.7,1920.9,1710.6,1891.9,1554.7,1899.8,1891.3,316.9,1863.0,1983.9,1776.8,1934.5,1745.8,2074.1,1867.0,310.2,1602.7,1888.8,2042.0,1763.6,2015.4,1525.6,1918.8,322.6,1816.5,2102.2,2189.6,1854.8,1886.1,1724.7,1983.1,318.6,1457.9,1628.5,1274.5,1753.5,1360.1,1547.8,1431.3,323.3,1435.4,1759.4,1691.9,1388.9,1615.7,1684.0,1428.1,311.9,1515.0,1377.2,1675.1,1718.6,1498.5,1444.4,1746.7,313.8,1490.1,1294.3,1593.0,1630.7,1818.5,1747.4,1642.8,310.2,1782.9,1680.0,1678.0,1373.7,1670.2,1636.3,2034.3,318.3,1582.9,1366.7,1885.5,1233.9,1840.5,1690.3,1793.9,323.2,1740.1,2000.8,2199.3,1904.2,2002.3,1711.9,1826.5,317.6,1754.2,1982.7,2225.0,1798.0,2016.8,1773.4,1739.3,317.1,1788.3,1509.9,1975.2,1460.9,1936.1,1938.5,1795.8,323.6,1791.1,1754.1,1910.7,1730.6,1730.1,1977.3,1868.6,1716.0,1219.1,1727.3,1310.5,1952.7,1286.7,1494.9,1301.6,305.8,2137.5,2111.3,1103.9,1697.9,1922.8,2071.3,1777.9,314.6,1693.0,966.6,996.3,1692.6,1114.1,2126.3,2535.9,315.5,1514.9,1559.4,1779.4,1857.0,1328.4,1740.9,1684.9,321.6,1270.7,1565.4,1654.6,1792.8,1390.9,1757.4,1704.1,311.9,1795.3,1620.0,1096.3,1424.2,1166.4,895.1,1217.9,313.1,1674.5,1368.0,1195.0,1366.3,1214.8,1138.2,665.2,328.2,1542.4,1675.1,627.6,1407.6,1730.1,1505.4,1712.9,313.5,1420.2,1548.5,1160.9,1485.7,1842.3,1378.4,1512.6,316.0,1650.1,1715.4,1789.6,1721.5,1921.0,1764.3,1677.8,326.2,1715.5,1849.8,1968.2,1833.2,2013.7,1967.9,1849.1,4000
0 days 01:42:00,314.8,1942.7,1926.8,1717.4,1880.8,1560.2,1906.4,1886.9,317.2,1844.3,1988.6,1777.2,1944.8,1751.2,2073.5,1877.6,310.1,1587.1,1894.2,2049.9,1774.9,2035.7,1529.8,1920.0,322.3,1827.1,2097.4,2182.0,1850.7,1881.1,1729.4,1986.2,318.8,1448.3,1632.3,1271.0,1753.7,1362.3,1558.8,1439.3,323.6,1440.1,1760.1,1695.1,1383.8,1617.9,1682.6,1412.3,311.9,1521.7,1384.1,1657.4,1710.7,1496.3,1428.6,1736.8,313.5,1489.9,1294.4,1598.1,1627.4,1813.6,1732.0,1637.3,310.0,1772.0,1685.5,1670.6,1381.9,1668.2,1630.9,2038.4,318.1,1576.9,1369.3,1889.2,1242.9,1863.2,1690.1,1797.0,323.1,1732.5,2013.1,2200.7,1896.9,1999.0,1711.8,1847.4,317.2,1755.5,1984.6,2216.8,1807.4,2012.1,1776.3,1736.0,317.2,1782.3,1499.4,1973.1,1461.5,1952.7,1940.6,1800.1,323.4,1788.8,1745.8,1915.2,1725.7,1734.6,1974.0,1876.3,1711.1,1222.7,1720.4,1315.4,1956.2,1282.5,1494.0,1300.0,305.7,2144.8,2124.5,1140.0,1732.7,1930.1,2087.2,1815.6,314.5,1714.2,981.1,1011.1,1722.2,1133.1,2146.7,2550.4,315.6,1527.1,1565.6,1786.6,1851.5,1336.2,1765.2,1676.8,321.6,1280.6,1572.4,1654.3,1794.5,1383.0,1754.4,1705.9,311.5,1844.0,1654.6,1117.4,1451.9,1180.7,910.7,1237.4,312.5,1715.8,1395.6,1211.3,1387.5,1242.4,1156.8,666.5,328.2,1551.5,1669.6,626.9,1421.9,1734.5,1509.5,1724.9,313.4,1414.0,1550.8,1161.9,1494.7,1855.9,1379.5,1513.2,316.0,1653.5,1712.5,1785.0,1711.1,1921.3,1758.9,1674.5,326.3,1724.1,1847.3,1976.1,1838.7,2015.2,1955.6,1858.4,4000
0 days 01:43:00,314.6,1937.8,1935.6,1720.0,1877.8,1574.3,1901.7,1889.7,316.9,1843.3,1979.5,1774.8,1946.3,1768.0,2065.8,1867.4,310.4,1579.6,1889.4,2058.1,1767.4,2048.1,1530.0,1912.8,322.6,1829.3,2097.9,2190.2,1852.3,1891.1,1742.8,1981.3,318.7,1437.9,1632.0,1271.1,1757.3,1368.7,1560.4,1440.5,323.4,1446.5,1767.9,1688.6,1376.2,1620.9,1688.2,1410.3,312.0,1508.0,1390.7,1660.4,1708.9,1508.4,1436.6,1738.6,313.6,1494.0,1297.4,1608.7,1628.5,1829.1,1713.8,1644.3,309.9,1778.8,1670.5,1681.4,1392.0,1659.6,1641.9,2036.9,318.3,1585.0,1369.8,1893.6,1245.4,1871.4,1697.2,1792.9,322.9,1739.7,2022.4,2196.4,1897.0,2002.6,1710.1,1850.9,317.0,1735.8,1987.5,2212.1,1804.9,2010.4,1780.3,1751.7,317.2,1780.8,1502.1,1977.4,1470.7,1954.2,1949.6,1800.8,323.4,1788.9,1746.7,1928.1,1711.0,1737.8,1979.0,1870.6,1707.5,1213.1,1718.6,1316.8,1959.6,1280.4,1486.5,1307.3,305.5,2153.0,2128.3,1167.5,1773.1,1948.0,2089.7,1858.4,314.5,1732.9,998.2,1027.4,1746.4,1152.4,2164.7,2555.3,315.4,1529.0,1569.3,1792.6,1860.1,1342.3,1760.7,1672.9,321.5,1290.1,1570.0,1650.6,1817.3,1384.3,1766.0,1714.4,311.8,1878.3,1683.8,1136.5,1481.2,1193.4,921.4,1264.1,313.1,1757.3,1423.5,1230.2,1418.8,1269.6,1182.9,668.2,328.1,1552.1,1672.9,627.1,1427.4,1740.6,1513.5,1723.7,313.4,1411.2,1562.3,1162.9,1493.0,1857.1,1379.6,1515.0,315.8,1656.0,1711.2,1782.0,1690.8,1928.9,1764.4,1666.2,326.2,1729.6,1837.1,1973.8,1847.4,2015.1,1956.9,1869.9,4000
0 days 01:44:00,314.7,1922.1,1932.2,1715.9,1870.6,1579.5,1888.8,1908.8,317.1,1830.9,1979.2,1767.4,1957.5,1768.3,2061.0,1852.3,310.2,1577.1,1883.8,2043.7,1764.2,2051.0,1528.4,1921.5,322.5,1812.4,2091.8,2195.5,1842.7,1898.9,1738.4,1984.1,318.4,1443.9,1636.5,1270.2,1752.9,1361.9,1574.3,1427.3,323.1,1459.8,1760.1,1702.1,1380.6,1621.1,1679.0,1405.9,311.6,1508.5,1391.8,1674.9,1699.7,1524.9,1435.5,1740.3,313.3,1501.2,1305.8,1613.6,1638.9,1827.3,1715.0,1659.8,310.0,1784.2,1660.8,1672.0,1386.7,1661.1,1640.7,2034.1,318.2,1592.4,1373.3,1889.6,1245.1,1881.5,1697.8,1788.2,322.9,1744.6,2014.6,2197.5,1915.1,2004.3,1707.2,1846.5,317.3,1739.7,1990.2,2234.9,1806.2,2021.8,1781.6,1744.3,317.3,1778.9,1499.6,1986.8,1482.5,1940.7,1957.6,1798.5,323.3,1792.0,1756.3,1929.7,1705.0,1728.0,1981.6,1870.6,1723.3,1223.6,1718.9,1320.1,1964.2,1275.7,1487.8,1312.4,305.3,2160.7,2155.5,1195.9,1843.2,1957.5,2097.1,1897.4,314.3,1758.3,1012.6,1042.9,1762.6,1169.7,2171.9,2563.9,315.6,1528.3,1573.7,1793.3,1864.2,1343.9,1760.6,1684.1,321.4,1295.4,1566.0,1664.5,1821.7,1393.5,1763.0,1713.9,311.3,1914.0,1716.0,1163.5,1508.3,1205.9,937.1,1294.7,312.5,1791.1,1451.4,1249.1,1451.8,1294.0,1205.8,669.3,328.1,1550.9,1671.2,626.9,1423.4,1743.7,1512.6,1725.3,313.3,1412.8,1567.3,1157.0,1499.9,1858.4,1375.3,1509.4,315.8,1670.0,1713.3,1798.4,1693.6,1926.0,1770.3,1672.2,326.1,1725.3,1833.3,1973.2,1857.4,2020.3,1961.4,1867.0,4000
0 days 01:45:00,314.4,1923.7,1936.3,1722.4,1878.0,1576.9,1889.6,1929.1,316.6,1846.9,1987.5,1780.6,1959.0,1758.3,2071.5,1837.4,310.0,1587.2,1889.8,2054.8,1763.9,2050.4,1519.7,1923.3,322.2,1822.7,2081.8,2186.4,1840.2,1894.5,1736.1,1990.6,318.6,1454.2,1638.8,1283.9,1751.7,1369.0,1580.4,1427.3,323.5,1461.3,1769.7,1704.3,1378.3,1619.9,1685.2,1419.1,311.7,1521.1,1386.9,1666.6,1688.1,1530.7,1433.2,1741.2,313.7,1493.8,1304.1,1613.1,1638.4,1821.8,1716.2,1659.6,309.8,1785.4,1675.5,1677.3,1378.6,1661.0,1641.3,2027.5,317.7,1595.2,1382.4,1885.6,1254.2,1896.1,1701.1,1790.7,322.8,1746.9,2025.6,2190.4,1924.9,2015.4,1715.0,1838.5,317.0,1740.1,1987.0,2241.3,1808.3,2038.4,1772.9,1743.7,317.1,1784.7,1487.1,1982.1,1494.8,1927.0,1950.0,1791.6,323.2,1798.2,1773.6,1938.8,1700.7,1737.4,1982.5,1864.3,1719.4,1231.9,1733.8,1321.8,1955.9,1284.3,1484.9,1317.8,305.4,2173.0,2164.8,1220.3,1882.7,1955.7,2118.0,1940.9,314.6,1788.1,1026.3,1062.8,1794.2,1180.5,2168.4,2569.2,315.6,1533.4,1566.4,1792.2,1865.6,1348.2,1756.4,1701.3,321.2,1307.6,1563.3,1660.7,1814.4,1399.5,1765.7,1724.2,311.7,1955.9,1750.5,1182.9,1540.5,1221.5,953.3,1322.6,312.5,1820.5,1470.9,1270.6,1487.2,1319.3,1233.9,671.0,328.1,1552.8,1669.2,626.9,1426.7,1754.1,1505.0,1725.4,313.6,1412.3,1569.7,1157.7,1502.9,1852.3,1374.6,1511.5,315.6,1676.0,1710.6,1811.1,1689.9,1937.9,1771.7,1666.1,325.8,1716.7,1846.1,1970.6,1842.6,2035.8,1961.7,1870.7,4000
0 days 01:46:00,314.6,1937.1,1911.5,1720.6,1870.6,1572.8,1894.2,1932.7,316.9,1866.9,2005.6,1779.4,1964.1,1755.3,2078.4,1821.0,310.1,1603.3,1889.4,2066.6,1758.5,2062.1,1525.3,1926.7,322.3,1812.6,2087.6,2189.7,1840.6,1896.3,1746.0,1988.2,318.4,1457.2,1644.9,1285.8,1751.1,1373.3,1574.7,1428.8,323.2,1450.8,1780.4,1699.7,1383.1,1612.0,1691.8,1435.4,311.6,1524.2,1381.8,1668.8,1675.6,1520.7,1441.4,1719.2,313.2,1493.8,1311.0,1618.8,1637.0,1828.6,1715.4,1661.8,310.0,1789.6,1686.4,1675.1,1379.6,1659.7,1637.0,2007.4,317.5,1595.9,1379.6,1894.6,1253.8,1868.2,1708.8,1785.5,322.7,1755.3,2036.0,2193.8,1926.6,2029.2,1712.8,1836.0,316.8,1742.1,1990.6,2225.5,1805.0,2032.2,1779.0,1750.9,316.9,1777.7,1500.5,1973.0,1495.1,1923.1,1953.7,1793.7,323.2,1792.3,1765.0,1930.6,1710.0,1747.1,1976.8,1865.3,1718.2,1228.4,1740.9,1322.3,1962.1,1284.9,1474.8,1314.5,304.9,2189.0,2188.0,1251.0,1938.8,1963.6,2137.0,1988.4,314.4,1806.2,1040.2,1080.9,1823.4,1196.5,2180.6,2579.3,315.5,1541.4,1580.0,1788.7,1871.6,1345.2,1744.9,1699.9,321.1,1305.1,1557.5,1668.2,1822.2,1401.5,1765.3,1719.2,311.2,1971.6,1771.2,1206.3,1590.6,1239.3,975.2,1351.5,312.4,1839.6,1493.8,1284.8,1518.0,1341.9,1258.9,672.5,327.9,1563.7,1661.8,627.2,1420.9,1765.6,1501.9,1725.9,313.0,1421.5,1567.3,1159.7,1505.0,1847.4,1369.0,1522.6,315.6,1672.3,1729.4,1817.2,1684.0,1945.6,1768.8,1679.4,325.9,1717.4,1848.0,1964.3,1847.6,2051.6,1967.4,1866.2,4000
0 days 01:47:00,314.5,1944.2,1907.3,1716.4,1886.4,1571.2,1882.4,1927.0,316.7,1873.8,2002.4,1780.6,1974.3,1754.8,2080.1,1813.6,310.0,1625.0,1880.1,2054.2,1759.2,2069.4,1529.2,1925.9,322.1,1818.6,2076.1,2189.1,1830.4,1901.2,1749.6,1987.9,318.6,1459.4,1648.1,1296.8,1747.2,1374.5,1568.1,1431.7,323.4,1460.0,1782.1,1697.5,1374.0,1619.8,1684.7,1440.2,311.5,1527.5,1385.7,1679.1,1685.1,1520.5,1450.0,1723.3,313.6,1505.9,1298.9,1616.5,1633.3,1835.0,1715.0,1655.9,309.7,1792.9,1688.0,1686.0,1383.2,1660.5,1634.9,2020.6,317.6,1615.4,1389.8,1897.1,1255.1,1860.4,1717.3,1785.7,322.7,1756.6,2033.3,2182.5,1936.1,2033.2,1722.7,1842.9,317.1,1740.3,1994.8,2218.5,1796.2,2022.0,1778.4,1730.9,317.1,1789.1,1499.3,1972.9,1508.2,1918.6,1955.2,1804.4,323.3,1791.8,1751.0,1930.8,1694.4,1746.3,1983.2,1870.5,1719.4,1229.2,1740.5,1319.3,1970.5,1281.9,1491.7,1320.5,305.2,2198.4,2198.5,1276.2,1973.3,1964.1,2144.6,2030.8,314.4,1829.6,1057.2,1101.5,1859.2,1214.7,2191.6,2593.8,315.4,1538.9,1582.4,1786.3,1876.8,1347.9,1730.9,1701.5,321.3,1297.0,1555.7,1667.8,1835.0,1401.7,1759.2,1729.3,311.2,1998.3,1791.9,1238.8,1623.2,1249.9,994.8,1388.3,312.2,1859.4,1511.5,1307.8,1552.1,1369.5,1293.4,673.3,327.9,1564.9,1657.9,627.0,1422.2,1776.1,1506.6,1729.2,313.5,1429.6,1565.1,1166.2,1518.7,1856.7,1368.3,1526.6,315.5,1664.0,1735.3,1817.1,1672.0,1947.2,1776.6,1671.8,325.7,1716.6,1830.7,1954.6,1849.4,2043.0,1971.9,1873.9,4000
0 days 01:48:00,314.5,1948.2,1896.8,1716.6,1905.2,1571.3,1893.1,1929.0,316.8,1873.2,1998.4,1790.7,1978.4,1763.9,2073.0,1812.2,310.1,1624.9,1888.4,2053.9,1750.4,2060.2,1529.3,1918.4,322.4,1831.0,2083.9,2176.6,1826.6,1897.7,1756.1,1995.5,318.1,1458.4,1643.8,1287.9,1745.9,1364.1,1577.5,1426.0,322.9,1461.8,1778.9,1686.9,1367.0,1621.0,1681.7,1450.8,311.7,1546.9,1383.3,1680.6,1708.9,1522.6,1463.5,1725.6,313.2,1508.9,1295.8,1613.1,1655.2,1834.0,1702.0,1651.7,309.7,1795.8,1668.4,1703.5,1380.1,1660.5,1641.6,2011.8,317.4,1608.9,1397.5,1896.7,1253.2,1856.3,1723.9,1785.9,322.4,1759.1,2037.3,2188.0,1927.4,2028.3,1724.9,1849.9,316.6,1751.9,1991.3,2217.4,1790.9,2033.1,1785.5,1724.8,316.8,1799.1,1506.5,1978.3,1514.5,1920.1,1959.6,1802.0,323.1,1793.3,1753.0,1934.6,1704.9,1751.0,1979.3,1868.0,1718.5,1230.2,1744.6,1324.3,1971.4,1285.3,1496.6,1314.6,305.1,2206.6,2221.0,1313.5,2014.1,1972.4,2155.3,2062.0,314.1,1862.0,1069.8,1120.5,1893.9,1233.0,2173.2,2593.2,315.2,1550.8,1582.3,1791.3,1882.3,1355.4,1717.7,1711.8,321.1,1291.4,1560.4,1665.6,1837.9,1399.0,1772.2,1723.0,311.2,2032.7,1803.8,1273.3,1657.6,1262.6,1020.8,1424.6,312.5,1887.8,1533.9,1336.2,1588.8,1401.6,1321.3,673.8,327.9,1568.4,1658.1,626.5,1428.4,1777.5,1505.7,1727.3,313.0,1424.5,1563.6,1163.3,1519.4,1857.2,1371.4,1529.0,315.4,1657.2,1731.2,1829.7,1673.7,1947.7,1781.7,1668.9,325.9,1728.6,1826.9,1964.4,1845.6,2065.4,1971.4,1873.0,4000
0 days 01:49:00,314.4,1951.6,1902.8,1721.2,1901.6,1573.5,1887.8,1921.5,316.6,1863.5,2002.3,1786.3,1971.9,1763.1,2068.2,1818.8,310.0,1632.3,1888.3,2035.6,1742.3,2072.2,1524.3,1912.2,322.1,1835.8,2086.5,2188.4,1833.2,1894.7,1752.7,1988.2,318.3,1464.5,1642.8,1284.3,1751.1,1368.0,1577.1,1434.3,323.3,1459.3,1779.1,1684.7,1369.9,1627.6,1687.3,1446.8,311.4,1543.3,1372.1,1682.2,1719.2,1531.1,1470.9,1716.9,313.1,1516.0,1284.4,1614.0,1659.7,1812.6,1707.9,1652.0,309.8,1791.0,1681.3,1715.8,1381.5,1668.4,1641.4,2022.3,317.7,1604.0,1402.0,1886.7,1247.9,1880.6,1730.2,1779.2,322.5,1765.4,2040.2,2172.8,1924.9,2015.5,1735.0,1859.7,317.0,1749.1,1993.6,2211.8,1795.3,2025.3,1788.6,1738.2,316.9,1796.9,1512.9,1972.9,1512.9,1910.4,1963.5,1805.1,322.7,1799.3,1756.2,1935.8,1691.6,1744.9,1980.6,1877.5,1725.4,1236.0,1744.0,1326.4,1965.5,1292.9,1490.8,1311.1,305.0,2216.5,2232.1,1347.2,2052.7,1986.8,2160.3,2081.7,314.0,1884.0,1085.5,1145.1,1924.8,1255.5,2172.2,2611.1,315.2,1542.2,1585.5,1785.6,1881.0,1341.4,1715.1,1721.3,320.8,1300.7,1556.5,1658.8,1849.6,1396.6,1774.3,1728.0,310.9,2062.8,1841.1,1301.1,1685.3,1278.3,1038.3,1461.7,311.9,1908.4,1553.8,1363.9,1631.9,1432.7,1350.7,675.5,327.8,1571.6,1655.0,626.5,1430.6,1786.2,1506.6,1723.9,313.1,1428.1,1567.6,1161.2,1524.5,1838.1,1365.4,1533.6,315.4,1673.9,1729.8,1823.9,1688.0,1944.7,1786.0,1677.5,325.7,1728.0,1838.7,1968.3,1851.1,2073.7,1973.9,1868.7,4000
0 days 01:50:00,314.2,1955.4,1910.3,1725.5,1905.7,1576.5,1886.1,1937.8,316.6,1884.0,2009.8,1789.5,1974.3,1757.7,2062.2,1808.6,309.7,1621.0,1898.2,2050.5,1725.1,2065.0,1521.1,1923.2,321.9,1843.1,2088.7,2185.8,1830.8,1900.1,1753.6,1986.6,318.2,1457.5,1648.4,1288.8,1747.1,1361.5,1579.8,1438.4,323.0,1467.6,1779.6,1695.3,1375.5,1634.4,1694.8,1437.3,311.7,1547.0,1372.3,1687.4,1720.6,1538.2,1466.7,1710.1,313.4,1514.9,1280.0,1613.9,1654.7,1811.5,1718.3,1639.7,309.6,1795.4,1679.3,1709.9,1389.4,1676.8,1632.3,2023.2,317.5,1596.5,1404.8,1887.0,1248.4,1879.9,1721.4,1777.1,322.5,1758.6,2041.9,2180.7,1923.4,2022.3,1719.8,1872.1,316.8,1750.4,1993.5,2228.2,1792.7,2029.2,1785.4,1735.6,316.9,1783.7,1511.3,1989.7,1518.8,1927.1,1963.1,1795.6,323.2,1800.7,1746.2,1927.6,1688.0,1743.5,1987.0,1875.0,1748.2,1228.5,1736.6,1335.5,1965.9,1296.2,1501.2,1312.5,304.9,2231.7,2246.9,1383.5,2092.5,1986.5,2160.9,2111.6,314.0,1919.8,1101.8,1164.1,1944.4,1282.4,2182.7,2609.0,315.1,1542.6,1591.3,1797.7,1874.5,1338.3,1711.7,1732.2,320.8,1310.6,1561.3,1682.5,1851.8,1394.9,1775.7,1726.1,311.2,2093.4,1874.9,1330.8,1723.8,1298.4,1056.8,1494.7,312.4,1936.2,1566.6,1391.8,1668.7,1457.7,1375.7,675.8,327.5,1571.8,1669.6,627.4,1444.7,1787.9,1502.4,1722.9,313.5,1424.0,1562.7,1161.3,1525.4,1834.0,1361.1,1531.4,315.4,1694.6,1732.2,1828.5,1680.3,1946.8,1779.0,1677.2,325.5,1732.3,1852.8,1962.8,1836.4,2076.1,1967.7,1869.6,4000
0 days 01:51:00,314.3,1961.4,1912.1,1724.0,1899.2,1570.8,1900.5,1936.3,316.7,1893.4,2017.8,1802.4,1978.5,1748.6,2066.3,1782.8,309.8,1615.8,1896.2,2042.7,1728.2,2053.6,1520.7,1919.9,322.3,1847.3,2089.9,2185.9,1841.3,1915.5,1757.5,1979.8,318.2,1455.3,1650.6,1282.6,1743.2,1357.9,1578.6,1436.4,323.2,1471.9,1773.8,1683.6,1381.1,1634.3,1696.6,1441.2,311.4,1556.9,1366.3,1691.2,1722.8,1542.8,1470.2,1725.7,313.4,1509.5,1283.9,1606.3,1645.7,1808.1,1709.5,1643.6,309.5,1797.6,1672.0,1716.4,1394.7,1688.6,1620.3,2028.0,317.6,1596.0,1407.9,1876.8,1249.5,1881.3,1719.9,1774.1,322.4,1756.5,2035.4,2179.6,1925.7,2025.0,1724.6,1889.4,316.9,1759.9,1997.2,2240.4,1798.5,2023.3,1790.7,1732.1,316.7,1782.6,1504.7,1980.5,1509.9,1938.4,1960.6,1806.0,322.7,1824.3,1743.1,1928.9,1699.6,1741.9,1987.6,1873.9,1754.0,1235.9,1728.9,1335.3,1972.9,1295.1,1506.0,1312.0,304.8,2241.8,2244.4,1415.5,2121.8,2005.4,2167.0,2149.9,313.6,1931.7,1125.9,1191.4,1965.9,1301.5,2195.0,2608.5,315.1,1548.9,1588.5,1810.4,1874.8,1345.5,1712.4,1724.5,321.2,1319.2,1564.1,1696.0,1850.9,1408.5,1772.9,1718.4,310.8,2117.3,1908.3,1365.5,1767.3,1308.5,1070.2,1523.5,311.9,1969.7,1589.4,1407.5,1711.7,1486.4,1406.2,676.1,327.6,1575.3,1672.0,627.1,1445.4,1787.6,1506.9,1717.7,312.8,1424.3,1563.0,1155.8,1519.3,1847.6,1357.5,1533.7,315.3,1692.4,1722.6,1819.8,1683.0,1933.6,1776.7,1668.9,325.5,1735.3,1858.7,1963.7,1836.8,2070.4,1963.4,1864.1,4000
0 days 01:52:00,314.2,1959.6,1901.8,1728.2,1905.5,1577.9,1905.0,1946.5,316.4,1886.8,2013.8,1803.0,1972.9,1753.9,2067.3,1761.8,309.5,1613.6,1902.5,2028.6,1735.1,2061.7,1532.0,1922.1,322.2,1840.7,2083.3,2195.6,1847.0,1906.7,1774.6,1991.9,318.2,1458.8,1651.5,1292.0,1741.4,1359.6,1581.8,1441.9,323.0,1469.0,1772.6,1695.7,1385.9,1625.6,1700.1,1439.6,311.2,1544.3,1362.9,1691.3,1707.2,1566.2,1477.4,1725.4,312.9,1508.6,1286.9,1598.0,1638.8,1818.9,1703.4,1648.5,309.5,1797.4,1664.8,1704.5,1394.6,1700.6,1635.1,2028.5,317.4,1600.5,1413.6,1885.9,1248.7,1889.4,1731.1,1770.5,322.4,1760.5,2035.0,2177.4,1924.8,2026.9,1722.3,1893.0,316.5,1761.2,1988.6,2237.5,1806.3,2030.1,1796.3,1732.0,316.8,1785.6,1508.5,1994.6,1496.4,1941.9,1961.8,1808.2,323.1,1816.4,1748.2,1928.4,1704.9,1739.0,1982.0,1869.7,1743.7,1224.7,1744.7,1335.1,1974.3,1292.4,1501.0,1307.9,304.6,2252.7,2253.0,1453.4,2155.0,2010.0,2184.7,2193.9,313.4,1944.8,1142.6,1217.3,2001.3,1324.7,2194.5,2609.7,315.0,1543.7,1594.8,1801.9,1868.2,1344.7,1720.2,1727.6,320.7,1311.8,1567.2,1693.1,1846.4,1406.5,1785.0,1701.0,311.0,2130.5,1934.3,1388.3,1799.2,1325.2,1089.6,1553.3,312.2,2001.0,1618.8,1425.1,1728.7,1512.0,1438.5,676.1,327.4,1573.0,1669.5,626.7,1449.0,1783.6,1507.4,1715.0,312.9,1424.5,1568.1,1158.4,1524.3,1848.9,1360.0,1542.1,315.3,1695.4,1711.8,1807.4,1699.2,1935.9,1781.1,1673.0,325.3,1735.2,1852.2,1966.8,1839.8,2067.8,1954.7,1869.4,4000
